LAMMPS data file
# 900 chl molecules

3 atom types
3 bond types
3 angle types
5 dihedral types
2 improper types

10800 atoms
10800 bonds
16200 angles
21600 dihedrals
5400 impropers

-32.61 32.61 xlo xhi
-32.6115 32.6115 ylo yhi
-32.61 32.61 zlo zhi

Masses

1   12.010  # ca chl
2   35.450  # cl chl
3    1.008  # ha chl

Pair Coeffs

1 0.0860002404911 3.400  # ca chl
2 0.264999655018 3.471  # cl chl
3 0.0149994180564 2.600  # ha chl

Bond Coeffs

1 478.399563182  1.387  # harmonic chl ca ca
2 344.299042609  1.087  # harmonic chl ca ha
3 322.799479288  1.729  # harmonic chl ca cl

Angle Coeffs

1 67.1794285658  119.97  # harmonic chl ca ca ca
2 62.9208497509  119.40  # harmonic chl ca ca cl
3 48.4599640598  120.01  # harmonic chl ca ca ha

Dihedral Coeffs

1 3.62499846793  2 180 0.0  # charmm chl ca ca ca ca
2 3.62499846793  2 180 0.0  # charmm chl ca ca ca ha
3 3.62499846793  2 180 0.0  # charmm chl ca ca ca cl
4 3.62499846793  2 180 0.0  # charmm chl cl ca ca ha
5 3.62499846793  2 180 0.0  # charmm chl ha ca ca ha

Improper Coeffs

1 1.09999706822 -1  2  # cvff chl ca ca ca ha
2 1.09999706822 -1  2  # cvff chl ca ca ca cl

Atoms

1 1 1 -0.006000   30.30300   28.01750  -15.38300  # ca C1 chl 1
2 1 1 -0.027000   29.99600   27.65750  -14.07000  # ca C2 chl 1
3 1 1 -0.177000   30.38000   27.01450  -16.35600  # ca C3 chl 1
4 1 1 -0.080000   30.15400   25.67750  -16.01700  # ca C4 chl 1
5 1 1 -0.177000   29.84800   25.33850  -14.69600  # ca C5 chl 1
6 1 1 -0.007000   29.76700   26.32850  -13.71000  # ca C6 chl 1
7 1 2 -0.110000   29.89700   28.91250  -12.83500  # cl Cl1 chl 1
8 1 3  0.101000   30.47700   29.06050  -15.63900  # ha H1 chl 1
9 1 3  0.133000   30.62000   27.28650  -17.38500  # ha H2 chl 1
10 1 3  0.116000   30.21600   24.90150  -16.78000  # ha H3 chl 1
11 1 3  0.133000   29.67100   24.29750  -14.42300  # ha H4 chl 1
12 1 3  0.101000   29.53000   26.07450  -12.67800  # ha H5 chl 1
13 2 1 -0.006000    8.81600   18.78050  -25.98500  # ca C1 chl 2
14 2 1 -0.027000    9.41000   17.85050  -25.13000  # ca C2 chl 2
15 2 1 -0.177000    8.55300   20.06750  -25.50400  # ca C3 chl 2
16 2 1 -0.080000    8.87800   20.41350  -24.18900  # ca C4 chl 2
17 2 1 -0.177000    9.47200   19.46650  -23.34800  # ca C5 chl 2
18 2 1 -0.007000    9.74300   18.17550  -23.81400  # ca C6 chl 2
19 2 2 -0.110000    9.74600   16.22550  -25.72700  # cl Cl1 chl 2
20 2 3  0.101000    8.56600   18.50250  -27.00700  # ha H1 chl 2
21 2 3  0.133000    8.08900   20.80050  -26.16400  # ha H2 chl 2
22 2 3  0.116000    8.67000   21.41750  -23.81900  # ha H3 chl 2
23 2 3  0.133000    9.72900   19.72850  -22.32100  # ha H4 chl 2
24 2 3  0.101000   10.20500   17.43150  -23.16700  # ha H5 chl 2
25 3 1 -0.006000   27.02000  -13.65150  -20.17100  # ca C1 chl 3
26 3 1 -0.027000   26.16200  -14.53350  -20.83000  # ca C2 chl 3
27 3 1 -0.177000   28.29400  -14.09750  -19.80500  # ca C3 chl 3
28 3 1 -0.080000   28.69900  -15.40450  -20.09400  # ca C4 chl 3
29 3 1 -0.177000   27.82300  -16.27250  -20.75500  # ca C5 chl 3
30 3 1 -0.007000   26.54600  -15.84150  -21.12800  # ca C6 chl 3
31 3 2 -0.110000   24.55300  -13.98050  -21.29600  # cl Cl1 chl 3
32 3 3  0.101000   26.69800  -12.63550  -19.95000  # ha H1 chl 3
33 3 3  0.133000   28.97200  -13.41550  -19.29000  # ha H2 chl 3
34 3 3  0.116000   29.69300  -15.74650  -19.80600  # ha H3 chl 3
35 3 3  0.133000   28.13100  -17.29250  -20.98300  # ha H4 chl 3
36 3 3  0.101000   25.85700  -16.50950  -21.64200  # ha H5 chl 3
37 4 1 -0.006000   22.15900   -5.16250  -30.02300  # ca C1 chl 4
38 4 1 -0.027000   21.13600   -5.33350  -29.08900  # ca C2 chl 4
39 4 1 -0.177000   23.43300   -5.65750  -29.72600  # ca C3 chl 4
40 4 1 -0.080000   23.67600   -6.31150  -28.51400  # ca C4 chl 4
41 4 1 -0.177000   22.63800   -6.47250  -27.59100  # ca C5 chl 4
42 4 1 -0.007000   21.35800   -5.98350  -27.87300  # ca C6 chl 4
